Id	Vendor/Payee	Date	Amount	Fund	Account	Department	Program
202007024689	American Express	01/21/2020	$1.51	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Parks Recreation & Tourism Mgt	Instruction
202007013376	American Express	01/21/2020	$21.50	Non-State Approp - University Generated Funds	Bank Fees	Office of Global Engagement	Academic Support
202007024688	American Express	01/21/2020	$98.94	Non-State Approp - University Generated Funds	Bank Fees	Office of Global Engagement	Academic Support
202007025845	American Express	01/21/2020	$1.55	Non-State Approp - University Generated Funds	Other Services	Campus Activities and Events	Student Services
202007025847	American Express	01/21/2020	$670.58	Non-State Approp - University Generated Funds	Other Services	Miscellaneous Institutional	Institutional Support
202007023635	American Express	01/21/2020	$2.69	Non-State Approp - University Generated Funds	Bank Fees	National Scholars	Student Services
202007025846	American Express	01/21/2020	$8.71	Non-State Approp - University Generated Funds	Other Services	Records / Registration	Student Services
202007011693	American Express	01/21/2020	$391.30	Non-State Approp - University Generated Funds	Bank Fees	Michelin Career Center	Student Services
202007013373	American Express	01/21/2020	$0.64	Non-State Approp - University Generated Funds	Bank Fees	Inclusion & Equity Commissions	Institutional Support
202007013375	American Express	01/21/2020	$13.60	Non-State Approp - University Generated Funds	Bank Fees	Marketing & Creative Services	Institutional Support
202007010057	American Express	01/21/2020	$2.04	Non-State Approp - University Generated Funds	Bank Fees	Performing Arts	Instruction
202007011698	American Express	01/21/2020	$0.32	Non-State Approp - University Generated Funds	Bank Fees	Campus Activities and Events	Student Services
202007024700	American Express	01/21/2020	$2.15	Non-State Approp - University Generated Funds	Bank Fees	Campus Activities and Events	Student Services
202007010050	American Express	01/21/2020	$2.99	Departmentally Generated PSA Funds	Bank Fees	Food, Nutrition & Package Sci	Research
202007024698	American Express	01/21/2020	$6.45	Departmentally Generated PSA Funds	Bank Fees	Cooperative Extension Services	Public Service
202007011697	American Express	01/21/2020	$1.29	Departmentally Generated PSA Funds	Bank Fees	Cooperative Extension Services	Public Service
202007010050	American Express	01/21/2020	$2.99	Departmentally Generated PSA Funds	Bank Fees	Food, Nutrition & Package Sci	Research
202007010047	American Express	01/21/2020	$25.80	Departmentally Generated PSA Funds	Bank Fees	Field Operations	Public Service
202007010049	American Express	01/21/2020	$20.43	Departmentally Generated PSA Funds	Bank Fees	Plant & Environmental Sciences	Public Service
202007010054	American Express	01/21/2020	$12.90	Departmentally Generated PSA Funds	Bank Fees	Horse Farm	Public Service
202007025837	American Express	01/21/2020	$66.86	Departmentally Generated PSA Funds	Bank Fees	Agricultural Sciences	Public Service
202007027146	American Express	01/21/2020	$24.59	Departmentally Generated PSA Funds	Bank Fees	Charleston	Public Service
202007027145	American Express	01/21/2020	$78.75	Departmentally Generated PSA Funds	Bank Fees	Pesticide Regulation	Public Service
202007013197	American Express	01/21/2020	$11.41	Departmentally Generated PSA Funds	Bank Fees	SC Botanical Garden	Public Service
202007013198	American Express	01/21/2020	$1.19	Departmentally Generated PSA Funds	Bank Fees	SC Botanical Garden	Public Service
202007013199	American Express	01/21/2020	$16.13	Departmentally Generated PSA Funds	Bank Fees	Plant Industry	Public Service
202007025836	American Express	01/21/2020	$14.63	Departmentally Generated PSA Funds	Bank Fees	Calhoun	Public Service
202007025835	American Express	01/21/2020	$1.30	Departmentally Generated PSA Funds	Bank Fees	Spartanburg	Public Service
202007025834	American Express	01/21/2020	$1.94	Departmentally Generated PSA Funds	Bank Fees	RPSP Labs	Public Service
202007024698	American Express	01/21/2020	$6.45	Departmentally Generated PSA Funds	Bank Fees	Cooperative Extension Services	Public Service
202007025833	American Express	01/21/2020	$5.17	Departmentally Generated PSA Funds	Bank Fees	PSA Publishing	Public Service
202008004840	American Express	02/19/2020	$20,865.74	Auxillary Funds	Bank Fees	Ticket Office	Auxillary Enterprises
202008005690	American Express	02/19/2020	$123.01	Auxillary Funds	Bank Fees	Parking Services	Auxillary Enterprises
202008005691	American Express	02/19/2020	$24.80	Auxillary Funds	Bank Fees	Student Health Center	Student Services
202008005692	American Express	02/19/2020	$22.60	Auxillary Funds	Bank Fees	University Housing	Auxillary Enterprises
202008009135	American Express	02/19/2020	$78.20	Auxillary Funds	Bank Fees	CCIT Customer Support Services	Auxillary Enterprises
202008009144	American Express	02/19/2020	$91.16	Auxillary Funds	Bank Fees	Business Services	Auxillary Enterprises
202008009145	American Express	02/19/2020	$63.64	Auxillary Funds	Bank Fees	Food Services - Meal Plans	Auxillary Enterprises
202008009146	American Express	02/19/2020	$25.92	Auxillary Funds	Bank Fees	Spirit Support Groups	Auxillary Enterprises
202008004841	American Express	02/19/2020	$0.65	Auxillary Funds	Bank Fees	Football Camp	Auxillary Enterprises
202008005687	American Express	02/19/2020	$0.54	Non-State Approp - Student Activities and Organizations	Bank Fees	Chemistry	Student Services
202008005350	American Express	02/19/2020	$53.00	Non-State Approp - Student Activities and Organizations	Bank Fees	Brooks Center	Instruction
202008004844	American Express	02/19/2020	$1.01	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Food, Nutrition & Package Sci	Instruction
202008005367	American Express	02/19/2020	$18.71	Non-State Approp - Departmentally Generated E&G Funds	Other Services	PRTM Outdoor Laboratory	Public Service
202008012368	American Express	02/19/2020	$85.12	Non-State Approp - Departmentally Generated E&G Funds	Other Services	Madren Center	Public Service
202008009142	American Express	02/19/2020	$1.61	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Office of Inclusion and Equity	Public Service
202008009136	American Express	02/19/2020	$88.07	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Student Transitions & Family	Student Services
202008005686	American Express	02/19/2020	$66.46	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Environmental Engr & Earth Sci	Instruction
202008009141	American Express	02/19/2020	$111.05	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	TigerOne Card Services	Student Services
202008006148	American Express	02/19/2020	$0.20	Non-State Approp - Departmentally Generated E&G Funds	Other Services	University Libraries	Academic Support
202008005349	American Express	02/19/2020	$9.68	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Art	Instruction
202008009138	American Express	02/19/2020	$3.23	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Office of Student Conduct	Student Services
202008005685	American Express	02/19/2020	$153.76	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Parks Recreation & Tourism Mgt	Public Service
202008005678	American Express	02/19/2020	$46.88	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Youth Learning Institute	Public Service
202008005689	American Express	02/19/2020	$0.97	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	CU Press	Academic Support
202008005683	American Express	02/19/2020	$0.65	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	School of Architecture	Instruction
202008005684	American Express	02/19/2020	$0.43	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Education & Human Dev	Instruction
202008005688	American Express	02/19/2020	$75.25	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	MBA Programs	Instruction
202008005352	American Express	02/19/2020	$1.27	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Parks Recreation & Tourism Mgt	Instruction
202008005353	American Express	02/19/2020	$2.52	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Osher Lifelong Learning Inst	Instruction
202008005354	American Express	02/19/2020	$22.48	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	JFSC - Community Outreach	Public Service
202008005355	American Express	02/19/2020	$19.46	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Center for Corporate Learning	Instruction
202008005351	American Express	02/19/2020	$3.23	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Philosophy and Religion	Instruction
202008005368	American Express	02/19/2020	$8.15	Non-State Approp - Departmentally Generated E&G Funds	Other Services	T3S	Research
202008006149	American Express	02/19/2020	$77.02	Non-State Approp - Departmentally Generated E&G Funds	Other Services	Campus Recreation	Student Services
202008005694	American Express	02/19/2020	$0.43	Non-State Approp - University Generated Funds	Bank Fees	Payroll	Institutional Support
202008007464	American Express	02/19/2020	$24.53	Non-State Approp - University Generated Funds	Bank Fees	Marketing & Creative Services	Institutional Support
202008007465	American Express	02/19/2020	$89.91	Non-State Approp - University Generated Funds	Bank Fees	Office of Global Engagement	Academic Support
202008009139	American Express	02/19/2020	$0.22	Non-State Approp - University Generated Funds	Bank Fees	Campus Activities and Events	Student Services
202008006150	American Express	02/19/2020	$299.81	Non-State Approp - University Generated Funds	Other Services	Miscellaneous Institutional	Institutional Support
202008009143	American Express	02/19/2020	$4.41	Non-State Approp - University Generated Funds	Bank Fees	Clemson Online	Instruction
202008009147	American Express	02/19/2020	$1.77	Non-State Approp - University Generated Funds	Other Services	Records / Registration	Student Services
202008005693	American Express	02/19/2020	$1.08	Non-State Approp - University Generated Funds	Bank Fees	National Scholars	Student Services
202008009137	American Express	02/19/2020	$219.30	Non-State Approp - University Generated Funds	Bank Fees	Michelin Career Center	Student Services
202008009140	American Express	02/19/2020	$2.15	Non-State Approp - University Generated Funds	Bank Fees	Campus Activities and Events	Student Services
202008019229	American Express	02/19/2020	$13.65	Departmentally Generated PSA Funds	Bank Fees	Cooperative Extension Services	Public Service
202008005682	American Express	02/19/2020	$1.28	Departmentally Generated PSA Funds	Bank Fees	Plant & Environmental Sciences	Research
202008019704	American Express	02/19/2020	$1.30	Departmentally Generated PSA Funds	Bank Fees	Calhoun	Public Service
202008019703	American Express	02/19/2020	$2.37	Departmentally Generated PSA Funds	Bank Fees	Richland	Public Service
202008019706	American Express	02/19/2020	$17.73	Departmentally Generated PSA Funds	Bank Fees	Agricultural Sciences	Public Service
202008019705	American Express	02/19/2020	$0.65	Departmentally Generated PSA Funds	Bank Fees	Charleston	Public Service
202008019400	American Express	02/19/2020	$52.68	Departmentally Generated PSA Funds	Bank Fees	SC Botanical Garden	Public Service
202008019701	American Express	02/19/2020	$1.94	Departmentally Generated PSA Funds	Bank Fees	RPSP Labs	Public Service
202008005680	American Express	02/19/2020	$0.43	Departmentally Generated PSA Funds	Bank Fees	Oconee	Public Service
202008005677	American Express	02/19/2020	$1.52	Departmentally Generated PSA Funds	Bank Fees	PSA Publishing	Public Service
202008005679	American Express	02/19/2020	$0.75	Departmentally Generated PSA Funds	Bank Fees	Anderson	Public Service
202008005681	American Express	02/19/2020	$2.90	Departmentally Generated PSA Funds	Bank Fees	Field Operations	Public Service
202008005682	American Express	02/19/2020	$1.28	Departmentally Generated PSA Funds	Bank Fees	Plant & Environmental Sciences	Research
202008019229	American Express	02/19/2020	$13.65	Departmentally Generated PSA Funds	Bank Fees	Cooperative Extension Services	Public Service
202008019703	American Express	02/19/2020	$2.37	Departmentally Generated PSA Funds	Bank Fees	Richland	Public Service
202009018474	American Express	03/10/2020	$26.44	Auxillary Funds	Bank Fees	Spirit Support Groups	Auxillary Enterprises
202009004471	American Express	03/10/2020	$0.44	Auxillary Funds	Bank Fees	Football Camp	Auxillary Enterprises
202009004470	American Express	03/10/2020	$76,263.73	Auxillary Funds	Bank Fees	Ticket Office	Auxillary Enterprises
202009024135	American Express	03/10/2020	$16.13	Auxillary Funds	Bank Fees	University Housing	Auxillary Enterprises
202009024457	American Express	03/10/2020	$19.63	Auxillary Funds	Bank Fees	Business Services	Auxillary Enterprises
202009010990	American Express	03/10/2020	$166.95	Auxillary Funds	Bank Fees	CCIT Customer Support Services	Auxillary Enterprises
202009004347	American Express	03/10/2020	$55.74	Auxillary Funds	Bank Fees	Student Health Center	Student Services
202009024458	American Express	03/10/2020	$338.31	Auxillary Funds	Bank Fees	Food Services - Meal Plans	Auxillary Enterprises
202009004346	American Express	03/10/2020	$295.92	Auxillary Funds	Bank Fees	Parking Services	Auxillary Enterprises
202009018432	American Express	03/10/2020	$15.70	Non-State Approp - Student Activities and Organizations	Bank Fees	Brooks Center	Instruction
202009018430	American Express	03/10/2020	$2.15	Non-State Approp - Student Activities and Organizations	Bank Fees	Student Organizations	Student Services
202009018442	American Express	03/10/2020	$7.82	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Food, Nutrition & Package Sci	Instruction
202009018440	American Express	03/10/2020	$0.84	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Animal & Veterinary Sciences	Instruction
202009018427	American Express	03/10/2020	$34.08	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Electrical & Computer Engr	Research
202009018426	American Express	03/10/2020	$38.18	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	JFSC - Community Outreach	Public Service
202009018425	American Express	03/10/2020	$64.63	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Osher Lifelong Learning Inst	Instruction
202009024053	American Express	03/10/2020	$0.31	Non-State Approp - Departmentally Generated E&G Funds	Other Services	University Libraries	Academic Support
202009018433	American Express	03/10/2020	$0.12	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Dean - College of Education	Academic Support
202009018431	American Express	03/10/2020	$21.50	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	School of Architecture	Instruction
202009014893	American Express	03/10/2020	$4.96	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Parks Recreation & Tourism Mgt	Instruction
202009011036	American Express	03/10/2020	$17.50	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Education & Human Dev	Instruction
202009011035	American Express	03/10/2020	$17.74	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Philosophy and Religion	Instruction
202009014894	American Express	03/10/2020	$311.80	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Parks Recreation & Tourism Mgt	Public Service
202009011032	American Express	03/10/2020	$45.91	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Student Transitions & Family	Student Services
202009024052	American Express	03/10/2020	$349.94	Non-State Approp - Departmentally Generated E&G Funds	Other Services	T3S	Research
202009018429	American Express	03/10/2020	$15.63	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Graphic Communications	Instruction
202009014898	American Express	03/10/2020	$3.85	Non-State Approp - Departmentally Generated E&G Funds	Other Services	PRTM Leisure Skills	Instruction
202009014897	American Express	03/10/2020	$26.55	Non-State Approp - Departmentally Generated E&G Funds	Other Services	PRTM Outdoor Laboratory	Public Service
202009007046	American Express	03/10/2020	$108.74	Non-State Approp - Departmentally Generated E&G Funds	Other Services	Campus Recreation	Student Services
202009004479	American Express	03/10/2020	$3.85	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Parks Recreation & Tourism Mgt	Public Service
202009009886	American Express	03/10/2020	$3.23	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Office of Student Conduct	Student Services
202009011375	American Express	03/10/2020	$4.84	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Office of Inclusion and Equity	Public Service
202009004349	American Express	03/10/2020	$361.47	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	TigerOne Card Services	Student Services
202009011373	American Express	03/10/2020	$98.47	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Sonoco Inst Pkg Design & Graph	Research
202009006507	American Express	03/10/2020	$12.66	Non-State Approp - Departmentally Generated E&G Funds	Other Services	Madren Center	Public Service
202009004474	American Express	03/10/2020	$331.88	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Youth Learning Institute	Public Service
202009006505	American Express	03/10/2020	$12.80	Non-State Approp - Departmentally Generated E&G Funds	Other Services	CCIT Customer Support Services	Academic Support
202009006504	American Express	03/10/2020	$2.21	Non-State Approp - Departmentally Generated E&G Funds	Other Services	Animal & Veterinary Sciences	Instruction
202009010987	American Express	03/10/2020	$53.75	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	School of Nursing	Instruction
202009010991	American Express	03/10/2020	$0.60	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	CU Press	Academic Support
202009010988	American Express	03/10/2020	$125.58	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Environmental Engr & Earth Sci	Instruction
202009010989	American Express	03/10/2020	$43.00	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	MBA Programs	Instruction
202009011374	American Express	03/10/2020	$0.35	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Clemson Light Imaging Facility	Research
202009018428	American Express	03/10/2020	$21.71	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Center for Corporate Learning	Instruction
202009024456	American Express	03/10/2020	$0.22	Non-State Approp - University Generated Funds	Bank Fees	Payroll	Institutional Support
202009011034	American Express	03/10/2020	$4.06	Non-State Approp - University Generated Funds	Bank Fees	Performing Arts	Instruction
202009007047	American Express	03/10/2020	$211.82	Non-State Approp - University Generated Funds	Other Services	Miscellaneous Institutional	Institutional Support
202009011376	American Express	03/10/2020	$13.26	Non-State Approp - University Generated Funds	Bank Fees	Marketing & Creative Services	Institutional Support
202009006506	American Express	03/10/2020	$5.35	Non-State Approp - University Generated Funds	Other Services	Records / Registration	Student Services
202009018434	American Express	03/10/2020	$473.00	Non-State Approp - University Generated Funds	Bank Fees	Michelin Career Center	Student Services
202009004348	American Express	03/10/2020	$2.47	Non-State Approp - University Generated Funds	Bank Fees	Campus Activities and Events	Student Services
202009011377	American Express	03/10/2020	$8.60	Non-State Approp - University Generated Funds	Bank Fees	Office of Global Engagement	Academic Support
202009024455	American Express	03/10/2020	$10.75	Non-State Approp - University Generated Funds	Bank Fees	Clemson Online	Instruction
202009024454	American Express	03/10/2020	$6.99	Non-State Approp - University Generated Funds	Bank Fees	National Scholars	Student Services
202009011378	American Express	03/10/2020	$151.17	Non-State Approp - University Generated Funds	Bank Fees	Office of Global Engagement	Academic Support
202009018441	American Express	03/10/2020	$10.64	Departmentally Generated PSA Funds	Bank Fees	Food, Nutrition & Package Sci	Public Service
202009004472	American Express	03/10/2020	$0.65	Departmentally Generated PSA Funds	Bank Fees	Cooperative Extension Services	Public Service
202009011033	American Express	03/10/2020	$4.85	Departmentally Generated PSA Funds	Bank Fees	Horse Farm	Public Service
202009003447	American Express	03/10/2020	$43.28	Departmentally Generated PSA Funds	Bank Fees	Pesticide Regulation	Public Service
202009003446	American Express	03/10/2020	$1.75	Departmentally Generated PSA Funds	Bank Fees	RPSP Labs	Public Service
202009003445	American Express	03/10/2020	$1.06	Departmentally Generated PSA Funds	Bank Fees	SC Botanical Garden	Public Service
202009003444	American Express	03/10/2020	$9.56	Departmentally Generated PSA Funds	Bank Fees	PSA Publishing	Public Service
202009009888	American Express	03/10/2020	$2.03	Departmentally Generated PSA Funds	Bank Fees	Plant & Environmental Sciences	Research
202009004476	American Express	03/10/2020	$16.12	Departmentally Generated PSA Funds	Bank Fees	York	Public Service
202009004477	American Express	03/10/2020	$8.07	Departmentally Generated PSA Funds	Bank Fees	Lee	Public Service
202009004478	American Express	03/10/2020	$17.92	Departmentally Generated PSA Funds	Bank Fees	Charleston	Public Service
202009014891	American Express	03/10/2020	$1.51	Departmentally Generated PSA Funds	Bank Fees	Anderson	Public Service
202009009887	American Express	03/10/2020	$-6.87	Departmentally Generated PSA Funds	Bank Fees	Field Operations	Public Service
202009004475	American Express	03/10/2020	$20.03	Departmentally Generated PSA Funds	Bank Fees	SC Botanical Garden	Public Service
202009011372	American Express	03/10/2020	$142.54	Departmentally Generated PSA Funds	Bank Fees	Agricultural Sciences	Public Service
202009004473	American Express	03/10/2020	$39.92	Departmentally Generated PSA Funds	Bank Fees	Cooperative Extension Services	Public Service
202009014892	American Express	03/10/2020	$1.94	Departmentally Generated PSA Funds	Bank Fees	Orangeburg	Public Service
202010009024	American Express	04/08/2020	$3.23	Donor Restricted Funds	Bank Fees	Alumni Relations	Institutional Support
202010009022	American Express	04/08/2020	$32.50	Auxillary Funds	Bank Fees	Business Services	Auxillary Enterprises
202010013011	American Express	04/08/2020	$588.19	Auxillary Funds	Bank Fees	Football Camp	Auxillary Enterprises
202010005260	American Express	04/08/2020	$72.12	Auxillary Funds	Bank Fees	Student Health Center	Student Services
202010011784	American Express	04/08/2020	$4.85	Auxillary Funds	Bank Fees	Spirit Support Groups	Auxillary Enterprises
202010011522	American Express	04/08/2020	$6.07	Auxillary Funds	Bank Fees	CCIT Customer Support Services	Auxillary Enterprises
202010003198	American Express	04/08/2020	$155.99	Auxillary Funds	Bank Fees	Parking Services	Auxillary Enterprises
202010011781	American Express	04/08/2020	$3,623.98	Auxillary Funds	Bank Fees	Ticket Office	Auxillary Enterprises
202010009023	American Express	04/08/2020	$159.55	Auxillary Funds	Bank Fees	Food Services - Meal Plans	Auxillary Enterprises
202010005261	American Express	04/08/2020	$361.28	Auxillary Funds	Bank Fees	University Housing	Auxillary Enterprises
202010011524	American Express	04/08/2020	$68.53	Non-State Approp - Student Activities and Organizations	Bank Fees	Student Organizations	Student Services
202010011791	American Express	04/08/2020	$0.17	Non-State Approp - Student Activities and Organizations	Bank Fees	Chemistry	Student Services
202010011523	American Express	04/08/2020	$3.62	Non-State Approp - Student Activities and Organizations	Bank Fees	Student Organizations	Student Services
202010005254	American Express	04/08/2020	$1.29	Non-State Approp - Student Activities and Organizations	Bank Fees	School of Accountancy	Student Services
202010011785	American Express	04/08/2020	$42.05	Non-State Approp - Student Activities and Organizations	Bank Fees	Brooks Center	Instruction
202010011792	American Express	04/08/2020	$2.15	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	School of Math & Stat Sciences	Instruction
202010005262	American Express	04/08/2020	$2.69	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Office of Inclusion and Equity	Public Service
202010011793	American Express	04/08/2020	$59.87	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Center for Corporate Learning	Instruction
202010005251	American Express	04/08/2020	$445.40	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Youth Learning Institute	Public Service
202010013019	American Express	04/08/2020	$3.55	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Osher Lifelong Learning Inst	Instruction
202010011788	American Express	04/08/2020	$102.23	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Environmental Engr & Earth Sci	Instruction
202010011520	American Express	04/08/2020	$5.91	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Political Science	Instruction
202010011521	American Express	04/08/2020	$5.28	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Small Business Development Ctr	Public Service
202010011525	American Express	04/08/2020	$11.28	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Office of Student Conduct	Student Services
202010011787	American Express	04/08/2020	$282.76	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Parks Recreation & Tourism Mgt	Public Service
202010011786	American Express	04/08/2020	$5.38	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Department of Communications	Instruction
202010011794	American Express	04/08/2020	$178.45	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	MBA Programs	Instruction
202010005258	American Express	04/08/2020	$32.15	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Graphic Communications	Instruction
202010005249	American Express	04/08/2020	$10.76	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Environmental Engr & Earth Sci	Instruction
202010009859	American Express	04/08/2020	$321.03	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	TigerOne Card Services	Student Services
202010013004	American Express	04/08/2020	$6.54	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Human Resources	Institutional Support
202010013006	American Express	04/08/2020	$14.72	Non-State Approp - Departmentally Generated E&G Funds	Bank Fees	Food, Nutrition & Package Sci	Instruction
